City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,nouadhibou,20.931,-17.0347,292.14,45,99,8.75,MR,1675632825
139,vuktyl,63.8567,57.3094,251.96,100,93,1.3,RU,1675632825
140,qaqortoq,60.7167,-46.0333,264.58,69,99,12.31,GL,1675632826
141,ust-koksa,50.2696,85.6108,261.05,95,93,0.53,RU,1675632827
142,ewo,-0.8725,14.8206,298.39,61,79,1.2,CG,1675632827
143,chapais,49.7834,-74.8492,258.03,93,100,1.71,CA,1675632827
144,ancud,-41.8697,-73.8203,289.91,74,24,3.86,CL,1675632828
145,dakar,14.6937,-17.4441,292.22,72,0,7.2,SN,1675632154
146,evensk,61.95,159.2333,245.59,78,29,4.0,RU,1675632829
147,chern,53.4523,36.9145,268.19,95,100,3.52,RU,1675632829
148,venice,27.0998,-82.4543,299.25,81,0,3.6,US,1675632609
149,lorengau,-2.0226,147.2712,300.49,81,100,1.69,PG,1675632830
150,pangai,-19.8,-174.35,300.21,78,100,9.77,TO,1675632830
151,rawson,-43.3002,-65.1023,292.23,72,19,12.08,AR,1675632831
152,sistranda,63.7256,8.834,276.13,83,100,11.77,NO,1675632831
153,pogar,52.554,33.2591,268.32,94,100,3.68,RU,1675632832
154,malokaterynivka,47.6525,35.2539,271.8,72,75,5.22,UA,1675632832
155,vila franca do campo,37.7167,-25.4333,288.38,82,65,3.22,PT,1675632800
156,ugoofaaru,5.6667,73.0,299.8,77,100,1.41,MV,1675632833
157,cabedelo,-6.9811,-34.8339,301.52,77,10,5.13,BR,1675632833
158,nikolskoye,59.7035,30.7861,269.09,94,100,3.68,RU,1675632834
159,umm kaddadah,13.6017,26.6876,292.95,17,55,5.28,SD,1675632834
160,alice springs,-23.7,133.8833,285.9,76,0,2.06,AU,1675632835
161,bambous virieux,-20.3428,57.7575,299.94,83,40,2.06,MU,1675632835
162,mpongwe,-13.5091,28.155,289.8,97,100,1.71,ZM,1675632836
163,new norfolk,-42.7826,147.0587,290.21,64,100,1.79,AU,1675632836
164,kawalu,-7.3817,108.2082,295.39,84,99,1.06,ID,1675632836
165,kjollefjord,70.9457,27.3465,276.18,93,75,2.06,NO,1675632837
166,balaipungut,1.05,101.2833,296.31,98,100,1.21,ID,1675632837
167,dahuk,36.8695,42.994,279.19,84,100,7.15,IQ,1675632838
168,siteki,-26.45,31.95,295.15,100,15,3.6,SZ,1675632838
169,shunyi,40.125,116.6453,268.12,74,0,1.0,CN,1675632839
170,sitka,57.0531,-135.33,278.09,65,100,6.69,US,1675632839
171,korla,41.7597,86.1469,270.61,72,1,1.54,CN,1675632840
172,paamiut,61.994,-49.6678,263.88,82,100,10.29,GL,1675632840
173,geraldton,-28.7667,114.6,296.38,73,100,5.14,AU,1675632679
174,svetlogorsk,52.6333,29.7333,268.56,92,100,3.93,BY,1675632841
175,norman wells,65.282,-126.8329,245.17,76,100,1.03,CA,1675632841
176,cidreira,-30.1811,-50.2056,297.91,71,56,4.8,BR,1675632843
177,hualmay,-11.0964,-77.6139,297.81,71,50,3.35,PE,1675632844
178,mananara,-16.1667,49.7667,296.34,95,100,2.11,MG,1675632845
179,otake,34.2,132.2167,276.27,71,96,2.1,JP,1675632846
180,batagay-alyta,67.8006,130.4114,240.86,99,100,0.4,RU,1675632847
181,antsohihy,-14.8796,47.9875,296.19,97,100,1.72,MG,1675632850
182,shingu,33.7333,135.9833,276.91,60,61,2.41,JP,1675632851
183,saint andrews,34.0454,-81.1293,290.15,61,75,2.57,US,1675632852
184,sept-iles,50.2001,-66.3821,259.15,82,75,1.54,CA,1675632853
185,ahipara,-35.1667,173.1667,292.08,94,92,3.33,NZ,1675632835
186,rondonopolis,-16.4708,-54.6356,298.28,86,89,1.58,BR,1675632808
187,kodiak,57.79,-152.4072,276.88,100,100,7.2,US,1675632857
188,guaimaro,21.05,-77.35,303.17,39,15,1.0,CU,1675632859
189,palmer,42.1584,-72.3287,281.93,34,75,6.69,US,1675632860
190,hobart,-42.8794,147.3294,290.4,69,20,5.14,AU,1675632726
191,mar del plata,-38.0023,-57.5575,304.16,37,0,6.17,AR,1675632857
192,san buenaventura,27.0833,-101.5333,301.19,17,0,0.0,MX,1675632863
193,ayorou,14.7308,0.9174,300.22,13,100,3.37,NE,1675632864
194,namibe,-15.1961,12.1522,295.08,78,51,3.04,AO,1675632798
195,kavaratti,10.5669,72.642,299.82,76,24,3.4,IN,1675632866
196,lagos,6.5833,3.75,300.22,85,100,2.89,NG,1675632454
197,nova ushytsya,48.8372,27.2743,268.03,87,95,6.32,UA,1675632868
198,kaitangata,-46.2817,169.8464,291.12,68,78,7.8,NZ,1675632869
199,mutoko,-17.397,32.2268,291.37,87,65,1.38,ZW,1675632869
200,saravan,39.7196,45.6483,269.79,95,100,1.58,AM,1675632870
201,sao joao da barra,-21.6403,-41.0511,298.2,93,33,2.56,BR,1675632870
202,la rioja,42.25,-2.5,274.03,93,73,2.47,ES,1675632871
203,nago,26.5881,127.9761,291.62,88,100,5.79,JP,1675632871
204,akyab,20.15,92.9,290.53,57,78,4.13,MM,1675632872
205,ipixuna,-1.7625,-48.8043,296.44,96,100,1.53,BR,1675632872
206,muros,42.7762,-9.0603,283.06,72,0,3.29,ES,1675632872
207,diego de almagro,-26.3667,-70.05,300.05,34,38,6.34,CL,1675632691
208,potam,27.6,-110.3833,299.46,27,2,5.84,MX,1675632874
209,turayf,31.6725,38.6637,280.29,61,0,4.12,SA,1675632874
210,robertsport,6.7533,-11.3686,299.61,87,100,4.15,LR,1675632874
211,tingo maria,-9.2895,-76.0088,298.2,90,63,0.38,PE,1675632875
212,monrovia,6.3005,-10.7969,298.02,86,100,3.72,LR,1675632875
213,lasa,46.6166,10.7002,274.64,91,59,2.61,IT,1675632876
214,san cristobal,7.7669,-72.225,299.25,64,36,2.32,VE,1675632876
215,grindavik,63.8424,-22.4338,281.12,81,75,22.12,IS,1675632877
216,salalah,17.0151,54.0924,295.2,78,0,0.51,OM,1675632877
217,quang ngai,15.1167,108.8,293.31,93,78,1.95,VN,1675632877
218,port blair,11.6667,92.75,299.17,83,40,0.0,IN,1675632675
219,nhulunbuy,-12.2333,136.7667,297.49,94,100,0.0,AU,1675632878
220,el fuerte,26.4189,-108.6194,305.08,16,0,2.18,MX,1675632748
221,aguimes,27.9054,-15.4461,288.52,59,0,3.6,ES,1675632879
222,karasjok,69.4719,25.5112,270.96,81,82,7.33,NO,1675632879
223,nabire,-3.3667,135.4833,297.42,93,100,0.57,ID,1675632879
224,karratha,-20.7377,116.8463,303.66,56,3,2.17,AU,1675632880
225,boldesti,44.8667,26.5333,270.46,66,89,2.98,RO,1675632880
226,tuktoyaktuk,69.4541,-133.0374,230.15,66,40,2.06,CA,1675632881
227,dingle,10.9995,122.6711,296.09,94,46,3.55,PH,1675632881
228,muroto,33.2833,134.15,282.56,55,100,2.99,JP,1675632881
229,baymak,52.5933,58.3225,256.41,98,96,2.59,RU,1675632882
230,giyani,-23.3025,30.7187,296.43,60,1,3.37,ZA,1675632882
231,gorontalo,0.5412,123.0595,296.07,89,100,1.65,ID,1675632882
232,sembe,1.6481,14.5806,297.41,55,67,0.93,CG,1675632883
233,bangassou,4.7413,22.8184,295.86,25,18,0.53,CF,1675632883
234,teguise,29.0605,-13.564,287.27,63,0,3.09,ES,1675632884
235,verkhnyaya maksakovka,61.635,50.9674,258.16,92,75,1.0,RU,1675632884
236,san patricio,28.017,-97.5169,299.2,54,0,4.17,US,1675632885
237,cape girardeau,37.3834,-89.7168,286.49,58,0,1.34,US,1675632885
238,mogok,22.9167,96.5,285.27,31,31,1.16,MM,1675632886
239,rabo de peixe,37.8,-25.5833,287.88,82,40,3.6,PT,1675632886
240,bandar,2.05,99.75,295.5,98,100,0.62,ID,1675632887
241,guhagar,17.4842,73.1929,295.09,54,26,2.39,IN,1675632887
242,macas,-2.3167,-78.1167,294.01,94,75,5.66,EC,1675632888
243,mizdah,31.4451,12.9801,283.0,73,32,3.75,LY,1675632888
244,aklavik,68.2191,-135.0107,236.75,97,49,0.48,CA,1675632889
245,sayat,38.7839,63.8803,276.08,58,48,3.36,TM,1675632889
